# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0133  3.00417e-01  2.53766e+01  1.24958e+01  6.04578e+00 -1.68409e-15 -2.42279e+00  5.51447e+00  5.96685e-15 -4.44162e+00
0134  3.02321e-01  2.50554e+01  1.22333e+01  6.04639e+00 -2.45017e-15 -2.43867e+00  5.44521e+00  1.89377e-15 -4.41366e+00
0135  3.04226e-01  2.47402e+01  1.19779e+01  6.04699e+00 -2.46703e-15 -2.45455e+00  5.37725e+00 -4.21145e-15 -4.38606e+00
0136  3.06130e-01  2.44310e+01  1.17293e+01  6.04758e+00 -2.31834e-15 -2.47043e+00  5.31055e+00 -8.52649e-15 -4.35880e+00
0137  3.08034e-01  2.41275e+01  1.14875e+01  6.04815e+00 -2.03303e-15 -2.48630e+00  5.24508e+00 -1.04185e-14 -4.33188e+00
0138  3.09938e-01  2.38297e+01  1.12521e+01  6.04872e+00 -1.81647e-15 -2.50217e+00  5.18082e+00 -1.09761e-14 -4.30528e+00
0139  3.11843e-01  2.35374e+01  1.10230e+01  6.04927e+00 -1.36644e-15 -2.51804e+00  5.11773e+00 -9.08155e-15 -4.27901e+00
0140  3.13747e-01  2.32504e+01  1.07999e+01  6.04981e+00 -5.04612e-16 -2.53390e+00  5.05579e+00 -4.34132e-15 -4.25306e+00
0141  3.15651e-01  2.29687e+01  1.05826e+01  6.05035e+00  1.16724e-15 -2.54976e+00  4.99497e+00  2.86748e-15 -4.22743e+00
0142  3.17556e-01  2.26920e+01  1.03710e+01  6.05087e+00  2.75065e-15 -2.56562e+00  4.93523e+00  7.15165e-15 -4.20210e+00
0143  3.19460e-01  2.24204e+01  1.01649e+01  6.05139e+00  3.51644e-15 -2.58148e+00  4.87656e+00  1.16450e-14 -4.17707e+00
0144  3.21364e-01  2.21536e+01  9.96407e+00  6.05189e+00  3.44859e-15 -2.59733e+00  4.81894e+00  1.63939e-14 -4.15233e+00
0145  3.23268e-01  2.18915e+01  9.76838e+00  6.05239e+00  3.08211e-15 -2.61318e+00  4.76232e+00  1.55345e-14 -4.12789e+00
0146  3.25173e-01  2.16341e+01  9.57767e+00  6.05288e+00  1.47084e-15 -2.62903e+00  4.70670e+00  9.05435e-15 -4.10374e+00
